year,modelId,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,horsepower_engine,torque_engine,highway_mpg,city_mpg,make,condition,bodyStyle,configuration_engine,type_engine,name_transmission,drivenWheels,market_categories
2017,1472.0,73954.0,21299,8.0,5.7,370.0,395.0,25.0,16.0,9,2,6,0,4,9,3,20
2015,1333.0,58740.0,17999,4.0,2.0,240.0,255.0,34.0,23.0,3,2,0,3,4,9,3,30
2020,1248.0,49615.0,13599,4.0,1.5,160.0,184.0,36.0,29.0,7,2,6,3,4,11,2,59
2019,2173.0,33237.0,24299,6.0,3.6,276.0,266.0,24.0,17.0,38,2,7,0,4,9,2,59
2020,959.0,49639.0,14599,4.0,2.0,188.0,129.0,41.0,43.0,11,2,6,3,5,11,2,23
2021,1723.0,67724.0,15399,4.0,2.0,147.0,132.0,40.0,29.0,19,2,6,3,4,11,2,59
2017,2099.0,70880.0,19994,6.0,3.5,302.0,273.0,23.0,18.0,26,2,7,0,4,7,3,31
2020,906.0,183573.0,13499,4.0,2.7,159.0,180.0,23.0,20.0,37,2,8,3,4,5,3,59
2020,1047.0,63707.0,31599,6.0,3.0,340.0,332.0,21.0,16.0,20,2,7,0,4,9,1,32
2018,1364.0,85414.0,25499,6.0,3.0,354.0,369.0,30.0,21.0,2,2,6,0,4,9,0,37
2019,2067.0,62559.0,19479,4.0,2.0,189.0,207.0,30.0,21.0,23,2,9,3,4,6,0,19
2018,1361.0,75231.0,18999,4.0,2.0,252.0,273.0,27.0,23.0,2,2,7,3,4,7,0,31
2021,880.0,63335.0,20999,4.0,2.5,203.0,184.0,33.0,27.0,37,2,7,3,4,9,0,0
2018,1327.0,76414.0,15994,4.0,2.0,228.0,258.0,32.0,23.0,3,2,7,3,4,9,2,31
2019,1238.0,98092.0,14499,4.0,2.5,200.0,191.0,26.0,20.0,7,2,8,3,4,13,3,3
2021,894.0,49684.0,33999,8.0,5.7,381.0,401.0,17.0,13.0,37,2,8,0,4,5,1,59
2023,1245.0,12181.0,25499,3.0,1.3,155.0,174.0,30.0,26.0,7,2,7,3,4,10,0,0
2017,2144.0,74360.0,17997,6.0,3.8,311.0,293.0,,,13,2,6,0,4,9,4,55
2020,1320.0,72509.0,21399,4.0,2.0,248.0,258.0,34.0,23.0,3,2,6,3,4,9,3,55
2013,1336.0,81082.0,14599,6.0,3.0,315.0,300.0,28.0,19.0,3,2,6,3,4,9,3,55
2020,2069.0,71829.0,19199,3.0,1.5,134.0,162.0,33.0,24.0,23,2,2,3,4,9,0,0
2017,1881.0,85200.0,32149,6.0,3.0,360.0,369.0,23.0,17.0,31,2,7,0,4,7,0,46
2020,1365.0,45222.0,32997,6.0,3.0,349.0,369.0,23.0,18.0,2,2,7,0,4,9,0,36
2016,1270.0,31733.0,42995,8.0,6.2,460.0,465.0,29.0,17.0,7,2,1,0,4,8,3,20
2014,1501.0,67952.0,15489,6.0,4.0,261.0,281.0,21.0,,28,2,8,0,4,13,1,59
2021,1885.0,31696.0,34887,6.0,3.5,311.0,280.0,28.0,20.0,21,2,6,0,4,9,3,55
2022,2224.0,52708.0,18699,4.0,1.6,195.0,195.0,35.0,29.0,15,2,7,3,4,7,2,2
2021,2082.0,26284.0,35399,4.0,2.0,302.0,295.0,29.0,23.0,26,2,7,3,4,9,0,36
2019,2082.0,57038.0,19699,4.0,2.0,208.0,258.0,31.0,23.0,26,2,7,3,4,7,0,31
2021,969.0,20141.0,33999,8.0,5.0,460.0,420.0,24.0,15.0,11,2,1,0,4,6,3,57
2016,1472.0,72919.0,29797,8.0,6.4,485.0,475.0,25.0,15.0,9,2,6,0,4,9,3,20
2019,1327.0,62287.0,18199,4.0,2.0,228.0,258.0,32.0,23.0,3,2,7,3,4,9,2,31
2021,2180.0,12700.0,26589,4.0,2.0,280.0,306.0,33.0,24.0,1,2,6,3,4,9,3,55
2023,1511.0,17987.0,21497,4.0,2.5,188.0,180.0,37.0,27.0,28,2,6,3,4,11,2,59
2022,1064.0,71172.0,17999,4.0,2.5,187.0,178.0,33.0,26.0,15,2,7,3,4,9,2,0
2021,2052.0,61332.0,21799,4.0,2.0,184.0,221.0,30.0,22.0,2,2,7,3,4,9,0,31
2023,1808.0,9443.0,24999,4.0,2.5,181.0,181.0,30.0,24.0,27,2,7,3,4,11,0,0
2016,1335.0,56578.0,15599,4.0,2.0,240.0,260.0,34.0,22.0,3,2,6,3,4,9,0,30
2019,1511.0,19580.0,15799,4.0,2.5,188.0,180.0,39.0,28.0,28,2,6,3,4,11,2,59
2017,2099.0,75135.0,19995,6.0,3.5,302.0,273.0,22.0,18.0,26,2,7,0,4,7,0,31
2016,1889.0,77638.0,16499,6.0,3.5,268.0,248.0,31.0,21.0,21,2,6,0,4,5,2,55
2016,1014.0,50006.0,22399,6.0,3.0,329.0,354.0,26.0,19.0,26,2,6,0,4,7,0,55
2022,1512.0,53388.0,14499,4.0,2.0,149.0,146.0,39.0,29.0,28,2,6,3,4,11,2,59
2022,909.0,29360.0,17499,4.0,1.8,139.0,126.0,38.0,30.0,37,2,6,3,4,11,2,59
2018,1667.0,76761.0,11949,4.0,1.4,150.0,184.0,40.0,28.0,38,2,6,3,4,4,2,59
2022,1297.0,26350.0,24199,6.0,3.6,287.0,262.0,28.0,19.0,8,2,4,0,4,10,2,57
2015,1145.0,120899.0,21799,6.0,4.3,285.0,305.0,22.0,17.0,12,2,8,0,3,5,1,11
2019,1019.0,32488.0,42899,6.0,3.0,362.0,369.0,28.0,19.0,26,2,6,0,4,10,3,55
2018,2173.0,88524.0,16998,6.0,3.6,276.0,266.0,25.0,18.0,38,2,7,0,4,9,2,0
2022,1472.0,26484.0,20749,6.0,3.6,292.0,260.0,30.0,19.0,9,2,6,0,4,9,3,57
2019,1440.0,44186.0,25199,8.0,5.7,375.0,410.0,23.0,15.0,9,2,1,0,4,6,3,20
2021,1569.0,57605.0,21499,4.0,2.5,227.0,310.0,26.0,20.0,25,2,7,3,4,5,0,0
2019,1047.0,48894.0,32989,6.0,3.0,254.0,443.0,26.0,21.0,20,2,7,0,0,9,1,35
2018,1881.0,66896.0,27499,4.0,2.0,252.0,273.0,25.0,20.0,31,2,7,3,4,7,0,31
2017,1881.0,63566.0,24999,6.0,3.0,340.0,339.0,23.0,17.0,31,2,7,0,4,7,0,32
2015,858.0,99838.0,13995,6.0,3.5,278.0,252.0,28.0,19.0,14,2,2,0,4,5,0,1
2019,2024.0,14624.0,22995,4.0,2.0,245.0,275.0,27.0,20.0,22,2,7,3,4,5,2,31
2019,2046.0,67795.0,29499,4.0,2.0,248.0,258.0,29.0,22.0,3,2,7,3,4,9,0,31
2022,2224.0,38814.0,18499,4.0,1.6,195.0,195.0,35.0,29.0,15,2,7,3,4,7,2,2
2017,1043.0,40505.0,22299,4.0,2.0,240.0,250.0,29.0,21.0,20,2,7,3,4,10,0,31
2022,1472.0,22911.0,24198,6.0,3.6,292.0,260.0,30.0,19.0,9,2,6,0,4,9,3,57
2020,1472.0,70300.0,17999,6.0,3.6,292.0,260.0,30.0,19.0,9,2,6,0,4,9,3,57
2021,2369.0,119481.0,14199,4.0,1.6,180.0,195.0,38.0,29.0,19,2,6,3,4,9,2,59
2017,1043.0,25873.0,22399,4.0,2.0,240.0,250.0,29.0,21.0,20,2,7,3,4,10,0,31
2018,1657.0,74565.0,19699,4.0,2.0,184.0,221.0,27.0,21.0,38,2,7,3,4,9,0,0
2017,1069.0,67297.0,11995,4.0,1.6,132.0,120.0,,,15,2,1,3,4,13,2,19
2021,883.0,55015.0,20899,4.0,2.5,203.0,184.0,38.0,27.0,37,2,6,3,4,9,2,59
2020,2258.0,64217.0,21199,8.0,5.7,395.0,410.0,22.0,15.0,32,2,8,0,4,9,3,59
2019,981.0,121093.0,34599,8.0,,,,,,11,2,8,0,8,5,1,59
2022,883.0,19249.0,21995,4.0,2.5,203.0,184.0,39.0,28.0,37,2,6,3,4,9,2,59
2018,957.0,84958.0,22399,,,,,,,11,2,8,0,4,13,3,3
2023,1723.0,7090.0,16990,4.0,2.0,147.0,132.0,,,19,2,6,3,4,11,2,59
2021,1657.0,59472.0,18499,4.0,2.0,184.0,221.0,29.0,23.0,38,2,7,3,4,9,2,0
2019,969.0,96440.0,16499,4.0,2.3,310.0,350.0,31.0,21.0,11,2,1,3,4,6,3,57
2019,1252.0,65620.0,16499,4.0,1.5,170.0,203.0,32.0,26.0,7,2,7,3,4,5,2,0
2023,1723.0,18985.0,16899,4.0,2.0,147.0,132.0,,,19,2,6,3,4,11,2,59
2017,1881.0,72708.0,23999,4.0,2.0,252.0,273.0,25.0,20.0,31,2,7,3,4,7,0,31
2019,957.0,55441.0,29898,6.0,,,,,,11,2,8,0,4,13,1,14
2018,2140.0,26866.0,19199,4.0,2.0,208.0,258.0,33.0,24.0,16,2,2,3,4,7,2,31
2020,2212.0,36112.0,24799,4.0,2.0,280.0,306.0,28.0,22.0,1,2,2,3,4,9,0,32
2021,2258.0,57880.0,21499,8.0,5.7,395.0,410.0,22.0,15.0,32,2,8,0,4,9,3,59
2019,2175.0,38564.0,16649,4.0,2.0,141.0,147.0,32.0,25.0,28,2,2,3,4,11,2,0
2017,2109.0,60100.0,19889,4.0,2.0,241.0,258.0,32.0,22.0,21,2,6,3,4,9,3,30
2018,957.0,93959.0,23199,6.0,,,,,,11,2,8,0,4,13,3,3
2017,2126.0,37393.0,36995,6.0,3.0,365.0,343.0,26.0,18.0,3,2,1,3,4,6,3,37
2020,1440.0,28303.0,36599,8.0,6.4,485.0,475.0,23.0,14.0,9,2,1,0,4,6,3,6
2019,2250.0,32589.0,23995,4.0,2.0,250.0,280.0,26.0,21.0,22,2,7,3,4,9,2,31
2023,1064.0,13925.0,22399,4.0,2.5,187.0,178.0,32.0,25.0,15,2,7,3,4,9,2,0
2017,1018.0,31157.0,23599,4.0,2.0,241.0,273.0,30.0,23.0,26,2,1,3,4,7,3,30
2018,1881.0,49314.0,28399,4.0,2.0,252.0,273.0,25.0,20.0,31,2,7,3,4,7,0,31
2020,2212.0,44917.0,23999,4.0,2.0,280.0,306.0,28.0,22.0,1,2,2,3,4,9,0,32
2020,975.0,54224.0,15889,3.0,1.5,180.0,177.0,33.0,27.0,11,2,7,3,4,9,2,0
2022,906.0,30007.0,24499,4.0,2.7,159.0,180.0,23.0,20.0,37,2,8,3,4,5,3,59
2022,909.0,23656.0,16989,4.0,1.8,139.0,126.0,38.0,30.0,37,2,6,3,4,11,2,59
2021,908.0,26274.0,33995,6.0,4.0,270.0,278.0,19.0,16.0,37,2,7,0,4,3,3,59
2013,1883.0,122441.0,16499,8.0,4.6,386.0,367.0,24.0,16.0,21,2,6,0,4,9,3,55
2015,2046.0,86012.0,16499,4.0,2.0,240.0,260.0,28.0,20.0,3,2,7,3,4,9,0,31
2016,2090.0,75962.0,15999,4.0,2.0,240.0,250.0,26.0,20.0,20,2,7,3,4,10,0,31
2023,1248.0,12331.0,18999,4.0,1.5,160.0,184.0,35.0,27.0,7,2,6,3,4,11,2,59
