year,make,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,configuration_engine,horsepower_engine,torque_engine,type_engine,name_transmission,drivenWheels,market_categories,highway_mpg,city_mpg,segment
2020,Ford,used,975.0,suv,54224.0,15889,3.0,1.5,inline,180.0,177.0,gas,8A,FWD,Crossover,33.0,27.0,2
2022,Toyota,used,909.0,sedan,23656.0,16989,4.0,1.8,inline,139.0,126.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2021,Toyota,used,908.0,suv,26274.0,33995,6.0,4.0,V,270.0,278.0,gas,5A,RWD,,19.0,16.0,3
2013,Lexus,used,1883.0,sedan,122441.0,16499,8.0,4.6,V,386.0,367.0,gas,8A,RWD,"Luxury,Performance",24.0,16.0,2
2016,Land Rover,used,2090.0,suv,75962.0,15999,4.0,2.0,inline,240.0,250.0,gas,9A,AWD,"Luxury,Crossover",26.0,20.0,2
2023,Chevrolet,used,1248.0,sedan,12331.0,18999,4.0,1.5,inline,160.0,184.0,gas,Continuously Variable,FWD,,35.0,27.0,2
2019,Hyundai,used,1064.0,suv,61608.0,13698,4.0,2.0,inline,164.0,151.0,gas,6A,FWD,Crossover,30.0,23.0,2
2020,Chevrolet,used,1210.0,suv,28423.0,20995,4.0,2.0,inline,230.0,258.0,gas,9A,FWD,Crossover,28.0,21.0,2
2020,Jeep,used,1408.0,suv,27322.0,19999,4.0,2.4,inline,180.0,171.0,gas,9A,FWD,Crossover,31.0,22.0,2
2019,Mercedes-Benz,used,1018.0,sedan,71534.0,20399,4.0,2.0,inline,255.0,273.0,gas,9A,RWD,Luxury,34.0,23.0,2
2021,Toyota,used,909.0,sedan,62088.0,15499,4.0,1.8,inline,139.0,126.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2016,Audi,used,2052.0,suv,104000.0,15999,4.0,2.0,inline,200.0,207.0,gas,6A,AWD,"Luxury,Crossover",28.0,20.0,2
2018,Ford,used,957.0,truck,68616.0,43189,6.0,3.5,V,450.0,510.0,gas,10A,AWD,Factory Tuner,18.0,15.0,4
2010,Mercedes-Benz,used,1019.0,sedan,113243.0,11199,8.0,5.5,V,382.0,391.0,gas,7A,AWD,"Luxury,Performance",21.0,14.0,1
2021,Toyota,used,909.0,sedan,59013.0,14499,4.0,1.8,inline,139.0,126.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2020,Mercedes-Benz,used,1018.0,sedan,54560.0,24179,4.0,2.0,inline,255.0,273.0,gas,9A,RWD,"Luxury,Performance",35.0,24.0,2
