vin,year,make,model,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted
4T1G11AK1NU047812,2022,Toyota,Camry,used,883.0,sedan,46018.0,23138
2T3H1RFVXPW269152,2023,Toyota,RAV4,certified pre-owned,880.0,suv,20491.0,25481
3GTP9EEL7MG372117,2021,GMC,Sierra 1500,used,1145.0,truck,37220.0,46827
4T1F11AK9RU226875,2024,Toyota,Camry,new,883.0,sedan,5.0,31491
4T1G11AK0MU415542,2021,Toyota,Camry,used,883.0,sedan,68221.0,20987
4T1G11AK2RU892335,2024,Toyota,Camry,new,883.0,sedan,5.0,29271
4T1G11AK4MU573544,2021,Toyota,Camry,certified pre-owned,883.0,sedan,68543.0,19683
4T1G11AK4MU599786,2021,Toyota,Camry,certified pre-owned,883.0,sedan,60992.0,21737
4T1G11AK6MU541159,2021,Toyota,Camry,used,883.0,sedan,67664.0,21010
4T1G11AK9MU416186,2021,Toyota,Camry,used,883.0,sedan,71414.0,20999
4T1G11AK9MU425793,2021,Toyota,Camry,used,883.0,sedan,68753.0,20976
58AD11D15MU004863,2021,Lexus,ES 250,used,1900.0,sedan,41141.0,31992
5NMJB3AE0NH140972,2022,Hyundai,Tucson,used,1064.0,suv,30704.0,23281
5TFJA5DBXRX161082,2024,Toyota,Tundra,new,894.0,truck,5.0,58905
5TFNA5DB6RX164983,2024,Toyota,Tundra,new,894.0,truck,5.0,66958
5TFPC5DB6PX022181,2023,Toyota,Tundra,used,894.0,truck,11278.0,67996
5YFEPMAE4MP185829,2021,Toyota,Corolla,used,909.0,sedan,64966.0,17526
JTEDU5JR5P5283181,2023,Toyota,4Runner,used,908.0,suv,8871.0,44863
JTEEU5JR6R5306801,2024,Toyota,4Runner,new,908.0,suv,5.0,43655
KL4CJ1SM3GB620897,2016,Buick,Encore,used,1924.0,suv,37325.0,15781
3GCUDHEL6PG358197,2023,Chevrolet,Silverado 1500,new,1279.0,truck,2.0,70210
5NMJBCDE1RH359232,2024,Hyundai,Tucson,new,1064.0,suv,10.0,32399
5NTJDDAF7RH088226,2024,Hyundai,Santa Cruz,new,2468.0,truck,10.0,40827
5NTJEDAF0RH079848,2024,Hyundai,Santa Cruz,new,2468.0,truck,3371.0,43293
KM8JFCD16RU168993,2024,Hyundai,Tucson Hybrid,new,2409.0,suv,,40880
KM8JFCD16RU181744,2024,Hyundai,Tucson Hybrid,new,2409.0,suv,,41209
KM8R24GE2RU741097,2024,Hyundai,Palisade,new,2304.0,suv,,42050
KM8R34GE9RU740638,2024,Hyundai,Palisade,new,2304.0,suv,,43890
KM8R44GE8RU737064,2024,Hyundai,Palisade,new,2304.0,suv,,46544
KM8R54GE3RU735882,2024,Hyundai,Palisade,new,2304.0,suv,,50130
KM8R74GE4RU741149,2024,Hyundai,Palisade,new,2304.0,suv,,52995
KM8R74GE9RU739199,2024,Hyundai,Palisade,new,2304.0,suv,,52500
KM8R7DGE6RU731870,2024,Hyundai,Palisade,new,2304.0,suv,,54895
KM8R7DHE8NU348201,2022,Hyundai,Palisade,used,2304.0,suv,52104.0,35499
KMHL54JC5RA365405,2024,Hyundai,Sonata,new,1066.0,sedan,,37075
1FA6P8TH5R5121344,2024,Ford,Mustang,new,969.0,coupe,3.0,32284
1FMEE5BP9NLB06835,2022,Ford,Bronco,used,938.0,suv,28762.0,51500
1FMSK7DH4RGA11787,2024,Ford,Explorer,new,961.0,suv,,43116
1FMSK7FH4PGB49825,2023,Ford,Explorer,new,961.0,suv,3.0,49520
1FTER1FH6KLA92697,2019,Ford,Ranger,used,980.0,truck,17271.0,29950
1FTEW1CP3PKG18754,2023,Ford,F-150,new,957.0,truck,3.0,42835
1FTEW1CP5PKG19579,2023,Ford,F-150,new,957.0,truck,3.0,42835
1FTEW3K54RKD36847,2024,Ford,F-150,new,957.0,truck,,49161
1GNSKSKD9PR509984,2023,Chevrolet,Tahoe,new,1276.0,suv,2.0,71640
2C4RC1BG4NR142749,2022,Chrysler,Pacifica,used,1297.0,minivan,59898.0,24999
2GC4WSE70R1122912,2024,Chevrolet,Silverado 3500HD,new,1281.0,truck,2.0,54915
2T3J1RFV6LC085212,2020,Toyota,RAV4,used,880.0,suv,58024.0,28417
3FMCR9B68RRE17951,2024,Ford,Bronco Sport,new,2371.0,suv,3.0,31672
3FMCR9C63RRE33022,2024,Ford,Bronco Sport,new,2371.0,suv,3.0,34818
1C6SRFFTXMN814983,2021,Ram,1500,used,1711.0,truck,73705.0,36883
2C3CDXJG7PH552983,2023,Dodge,Charger,used,1472.0,sedan,1795.0,33443
4T1G11AK9RU891439,2024,Toyota,Camry,new,883.0,sedan,5.0,29271
5TDKDRAH0RS052504,2024,Toyota,Highlander,new,886.0,suv,5.0,44375
5XYP5DHC7NG233655,2022,Kia,Telluride,used,2295.0,suv,34353.0,40948
5YFEPMAE1MP184069,2021,Toyota,Corolla,used,909.0,sedan,66681.0,17475
JTENU5JR6R6237943,2024,Toyota,4Runner,new,908.0,suv,5.0,51245
3CZRZ1H57PM733764,2023,Honda,HR-V,used,2092.0,crossover,13443.0,27800
3VW6T7AU9KM002452,2019,Volkswagen,Golf GTI,used,2066.0,hatchback,59633.0,23250
1FMDE5DH9PLC14909,2023,Ford,Bronco,new,938.0,suv,2.0,51432
1FMEE5DP2PLB96698,2023,Ford,Bronco,new,938.0,suv,,53310
1FMEE9BP4RLA12133,2024,Ford,Bronco,new,938.0,suv,,72825
1FMJK1H88REA17834,2024,Ford,Expedition MAX,new,2252.0,suv,2.0,63975
1FMJU1H86REA15137,2024,Ford,Expedition,new,944.0,suv,2.0,61625
1FMJU1KTXLEA89021,2020,Ford,Expedition,used,944.0,suv,66477.0,34569
1FMSK7DH0RGA08689,2024,Ford,Explorer,new,961.0,suv,,38145
1FMSK7DH6PGC39741,2023,Ford,Explorer,new,961.0,suv,,42626
